"# Source: Sun et al. arXiv:2506.15035 Fig.2(e), optical step response"
# tau ≈ 7 µs stated in paper; digitized from curve shape
time_us,normalized_optical
0.200,0.0202
0.400,0.0269
0.600,0.0860
0.800,0.1443
1.000,0.1153
1.200,0.1733
1.400,0.1968
1.600,0.2171
1.800,0.2222
2.000,0.2454
2.200,0.2724
2.400,0.2944
2.600,0.3134
2.800,0.3453
3.000,0.3460
3.200,0.3778
3.400,0.3908
3.600,0.3796
3.800,0.4006
4.000,0.4466
4.200,0.4609
4.400,0.4883
4.600,0.4370
4.800,0.5085
5.000,0.4622
5.200,0.5231
5.400,0.4880
5.600,0.5776
5.800,0.5462
6.000,0.6191
6.200,0.5918
6.400,0.6161
6.600,0.6220
6.800,0.6574
7.000,0.6315
7.200,0.6196
7.400,0.6288
7.600,0.6440
7.800,0.6729
8.000,0.6881
8.200,0.6849
8.400,0.7019
8.600,0.7383
8.800,0.6802
9.000,0.7125
9.200,0.7519
9.400,0.7176
9.600,0.7670
9.800,0.7449
10.000,0.7487
10.200,0.7632
10.400,0.7771
10.600,0.7732
10.800,0.8166
11.000,0.7850
11.200,0.8220
11.400,0.8258
11.600,0.8053
11.800,0.8426
12.000,0.8569
12.200,0.8382
12.400,0.8477
12.600,0.8000
12.800,0.8515
13.000,0.8665
13.200,0.8855
13.400,0.8442
13.600,0.8616
13.800,0.8854
14.000,0.8514
14.200,0.8818
14.400,0.8142
14.600,0.8884
14.800,0.8471
15.000,0.8498
15.200,0.8797
15.400,0.8793
15.600,0.8923
15.800,0.8448
16.000,0.8768
16.200,0.9377
16.400,0.9039
16.600,0.8854
16.800,0.9236
17.000,0.9072
17.200,0.9301
17.400,0.9099
17.600,0.9572
17.800,0.9253
18.000,0.9306
18.200,0.8893
18.400,0.9089
18.600,0.9508
18.800,0.9149
19.000,0.9528
19.200,0.9008
19.400,0.9350
19.600,0.9562
19.800,0.9427
20.000,0.9348
