scenario,detector,Pd,delay_mean_us,far_mean
efficiency_loss,Fixed,1.000,2.3769,0.0000e+00
efficiency_loss,CUSUM,1.000,2.1014,0.0000e+00
efficiency_loss,W,0.995,1.4869,3.5002e-04
efficiency_loss,EWMA,1.000,1.4094,6.6241e-03
efficiency_loss,SPRT,1.000,1.5803,1.8463e-03
efficiency_loss,SR,0.990,1.2321,6.8586e-03
efficiency_loss,Kalman,1.000,2.3905,5.0753e-04
tau_increase,Fixed,1.000,2.6275,0.0000e+00
tau_increase,CUSUM,1.000,2.3069,0.0000e+00
tau_increase,W,0.995,1.6149,3.5002e-04
tau_increase,EWMA,1.000,1.5470,6.6241e-03
tau_increase,SPRT,1.000,1.7259,1.8463e-03
tau_increase,SR,0.990,1.3537,6.8586e-03
tau_increase,Kalman,1.000,2.6345,5.0753e-04
thermal_drift,Fixed,1.000,13.4638,0.0000e+00
thermal_drift,CUSUM,1.000,10.7468,0.0000e+00
thermal_drift,W,0.995,5.3221,3.5002e-04
thermal_drift,EWMA,1.000,5.4939,6.6241e-03
thermal_drift,SPRT,1.000,6.0809,1.8463e-03
thermal_drift,SR,0.990,4.4022,6.8586e-03
thermal_drift,Kalman,0.995,39.3562,5.0753e-04
contact_degradation,Fixed,1.000,52.5049,0.0000e+00
contact_degradation,CUSUM,1.000,52.5336,0.0000e+00
contact_degradation,W,0.995,8.5583,3.5002e-04
contact_degradation,EWMA,1.000,21.0056,6.6521e-03
contact_degradation,SPRT,1.000,23.7080,1.8183e-03
contact_degradation,SR,0.990,11.6200,6.7501e-03
contact_degradation,Kalman,1.000,38.2627,5.4953e-04
